Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čsl. lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
590100,Tištín,393,215,215,"2,79","0,46","0,00","14,88","0,00","7,90","6,97","2,32","0,00","1,86","0,93","0,00","2,79","0,00","1,39","29,30","0,00","0,00",0,"0,00","0,46","0,00","0,46","20,00","0,93"
590118,Tvorovice,252,152,152,"5,92","0,00","0,00","5,92","0,00","9,21","14,47","0,65","0,65","0,00","0,00","0,00","5,26","0,00","0,65","25,00","0,00","0,00",0,"0,00","0,65","0,00","1,97","15,78","1,97"
590126,Určice,1 101,613,611,"11,12","0,00","0,81","5,72","0,16","4,74","11,29","2,94","0,81","1,80","0,00","0,16","6,21","0,00","1,96","25,85","0,16","0,00",0,"0,00","0,98","0,00","0,65","18,00","0,81"
590134,Víceměřice,354,204,204,"5,39","0,00","0,00","16,17","0,00","1,47","9,31","0,49","0,98","0,49","0,00","0,00","8,82","0,49","2,45","27,45","0,00","0,00",0,"0,00","1,47","0,00","1,96","16,17","0,49"
590142,Vícov,404,254,250,"6,80","0,00","0,00","4,40","0,40","2,00","9,60","1,60","1,60","1,20","0,40","0,00","8,00","0,00","2,40","27,60","0,00","0,00",0,"0,00","0,00","0,00","1,20","16,40","0,40"
544710,Vincencov,109,80,80,"3,75","0,00","0,00","6,25","0,00","6,25","6,25","1,25","0,00","1,25","0,00","0,00","11,25","0,00","3,75","18,75","0,00","1,25",0,"0,00","0,00","0,00","0,00","18,75","0,00"
590151,Vitčice,146,84,84,"7,14","1,19","1,19","5,95","0,00","3,57","5,95","0,00","2,38","0,00","0,00","0,00","7,14","0,00","0,00","39,28","0,00","1,19",0,"0,00","0,00","0,00","0,00","17,85","0,00"
590177,Vranovice-Kelčice,492,321,318,"7,23","0,31","0,00","5,34","0,00","2,20","6,91","0,31","0,00","1,57","0,00","0,00","4,40","0,31","1,88","42,45","0,00","0,00",0,"0,00","0,00","0,00","0,00","13,52","0,00"
590185,Vrbátky,1 306,863,857,"7,93","0,11","0,11","7,00","0,11","3,61","9,91","0,81","0,70","1,28","0,46","0,11","7,93","0,00","1,63","33,48","0,00","0,11",0,"0,00","0,23","0,11","0,58","13,88","0,58"
590193,Vrchoslavice,478,282,275,"6,18","0,00","0,00","7,27","0,00","5,81","11,27","1,09","0,36","1,09","0,36","0,00","6,54","0,00","1,45","31,63","0,72","0,72",0,"0,00","1,45","0,36","0,36","17,81","0,00"
590207,Vřesovice,419,281,280,"5,35","0,00","0,00","5,71","0,00","2,85","14,64","1,07","0,00","0,35","0,00","0,00","5,00","0,00","2,85","21,78","0,00","0,71",0,"0,00","0,00","0,35","0,35","14,28","0,00"
590215,Výšovice,399,266,263,"10,64","0,00","0,76","9,50","0,00","0,76","9,50","1,14","0,38","1,14","0,38","0,38","7,98","0,38","6,08","26,23","0,00","0,00",0,"0,00","0,38","0,38","0,38","15,58","0,00"
590223,Zdětín,282,196,194,"3,09","0,00","0,00","10,82","0,00","6,70","8,24","0,51","0,00","0,00","0,51","0,00","10,82","0,00","1,03","27,31","0,00","0,51",0,"0,00","0,00","0,00","1,03","19,58","0,51"
590240,Želeč,436,278,278,"7,55","0,00","0,00","5,39","0,00","6,11","17,62","1,07","2,51","0,71","0,71","0,00","6,11","0,00","0,71","24,10","0,00","0,00",0,"0,00","0,00","0,00","0,35","16,90","0,00"
